input,index,label,token
"['بی', 'جے', 'پی', 'رکن', 'پارلیمنٹ', 'ورون', 'گاندھی', 'پر', 'تنقید', 'کرتے', 'ہوئے', 'بی', 'جے', 'پی', 'کے', 'واحد', 'مسلم', 'رکن', 'پارلیمنٹ', 'سید', 'شاہنواز', 'حسین', 'نے', 'آج', 'کہا', 'کہ', 'پارٹی', 'کے', 'کچھ', 'لیڈروں', 'کی', 'جانب', 'سے', 'کی', 'گئی', 'کچھ', 'فرقہ', 'وارانہ', 'تقاریر', 'اور', 'بیانات', 'کی', 'وجہ', 'سے', 'وہ', 'مسلم', 'رائےدہندوں', 'میں', 'مشکل', 'میں', 'پھنس', 'گئے', 'تھے', '۔']",28,8,کچھ
"['انہوں', 'نے', 'کہا', 'کہ', 'اقلیتی', 'شعبہ', 'کے', 'قومی', 'چیرمین', 'محمد', 'عمران', 'قدوائی', 'کی', 'ایما', 'پر', 'پوری', 'ریاست', 'کے', 'ہر', 'ڈویژن', 'میں', 'اقلیتی', 'کانفرنسیں', 'ہوں', 'گی', 'جس', 'کے', 'توسط', 'سے', 'کانگریس', 'کو', 'عام', 'مسلمانوں', 'سے', 'جوڑا', 'جائے', 'گا', '۔']",15,8,پوری
"['اےک', 'گروپ', 'کو', 'لیموں', 'کا', 'ایسا', 'شربت', 'پلایا', 'گیا', 'جس', 'مےں', 'شکر', 'گھولی', 'گئی', 'تھی', 'جبکہ', 'دوسرے', 'گروپ', 'کو', 'مصنوعی', 'مٹھاس', 'والا', 'شربت', 'دیا', 'گیا', 'تھا', '۔']",5,8,ایسا
"['ذرائع', 'کے', 'بموجب', 'احتجاجی', 'عوام', 'ملک', 'مےں', 'مزید', 'آزادیوں', 'کا', 'مطالبہ', 'کر', 'رہے', 'تھے', '۔']",7,8,مزید
"['ہوم', 'گارڈس', 'کی', 'تنخواہوں', 'پر', 'مکہ', 'مسجد', 'کی', 'گرانٹ', 'ان', 'ایڈ', 'کا', 'نصف', 'سے', 'زیادہ', 'حصہ', 'صرف', 'ہو', 'رہا', 'ہے', '۔']",14,8,زیادہ
"['واضح', 'ہو', 'کہ', 'قبل_ازیں', 'اقوام', 'متحدہ', 'نے', 'یہ', 'ادعا', 'کیا', 'تھا', 'کہ', 'سری', 'لنکا', 'میں', 'اب', 'بھی', '50,000', 'افراد', 'جنگی', 'علاقوں', 'میں', 'پھنسے', 'ہوئے', 'ہیں', 'تاہم', 'یہ', 'بات', 'خوش_آئند', 'ہے', 'کہ', 'تمام', 'متاثرہ', 'افراد', 'جنگ_زدہ', 'علاقوں', 'سے', 'نکلنے', 'میں', 'کامیاب', 'ہو', 'گئے', 'ہیں', '۔']",31,8,تمام
"['انہوں', 'نے', 'کہا', 'کہ', 'پچھلے', 'ہفتہ', 'ملزم', 'کو', 'مکوکا', 'عدالت', 'لے', 'جانے', 'کے', 'دوران', 'وہ', 'کافی', 'نقاہت', 'محسوس', 'کر', 'رہا', 'تھا', 'اور', 'چلنے', 'کے', 'موقف', 'مےں', 'نہیں', 'تھا', '۔']",15,8,کافی
"['تیل', 'کی', 'کمپنیاں', 'آئندہ', 'ماہ', 'پٹرول', 'کی', 'قیمت', 'مےں', 'بھی', 'فی', 'لیٹر', '3', 'روپئے', 'اضافہ', 'کی', 'تجویز', 'پر', 'غور', 'کر', 'رہی', 'ہےں', 'اور', 'سمجھا', 'جاتا', 'ہے', 'کہ', 'ڈیزل', 'کی', 'قیمتوں', 'مےں', 'بھی', 'اُسی', 'وقت', 'فی', 'لیٹر', '2', 'روپئے', 'تک', 'اضافہ', 'کر', 'دیا', 'جائےگا', '۔']",32,8,اُسی
"['انھوں', 'نے', 'تمام', 'ملازمین', 'کو', 'لکھے', 'گئے', 'اےک', 'کھلے', 'مکتوب', 'مےں', 'کہا', 'کہ', 'آخر', 'چند', 'پائلٹس', 'اس', 'طرح', 'کی', 'بےصبری', 'کا', 'مظاہرہ', 'کیوں', 'کر', 'رہے', 'ہےں', 'اور', 'اتنے', 'غیرذمہ_دار', 'کیوں', 'ہو', 'گئے', 'ہےں', '؟']",14,8,چند
"['امریکی', 'فوج', 'اس', 'طرح', 'کی', 'انسانی', 'بنیادوں', 'پر', 'فراہم', 'کی', 'جانے', 'والی', 'امدادی', 'سرگرمیوں', 'میں', 'سرگرم', 'ہو', 'سکتی', 'ہے', 'لیکن', 'یہ', 'امداد', 'فی۔الحال', 'پاکستانی', 'فوج', 'اور', 'دیگر', 'امدادی', 'گروپس', 'کو', 'سونپی', 'جا', 'رہی', 'ہے', '۔']",26,8,دیگر
