input,index,label,token
"['پاکستانی', 'حکومتیں', 'اور', 'زرائع', 'ابلاغ', 'کسی', 'اور', 'نکتے', 'پر', 'اتفاق', 'کریں', 'نہ', 'کریں', 'مگر', 'اس', 'بات', 'پر', 'انکے', 'درمیان', 'کم', 'و', 'بیش', 'اتفاقِ', 'راۓ', 'ہے', 'کہ', 'سعودی', 'عرب', 'ایک', 'ایسا', 'برادر', 'اسلامی', 'ملک', 'ہے', 'جس', 'نے', 'ہر', 'آڑے', 'وقت', 'میں', 'پاکستانی', 'حکومتوں', 'کی', 'مدد', 'کی', 'ہے۔بھلے']",17,3,انکے
"['واشنگٹن', 'ڈی', 'سی', 'امریکا', 'کے', 'ڈیپارٹمنٹ', 'ا', 'ف', 'ہوم', 'لینڈ', 'سکیوریٹی', 'ڈی', 'ایچ', 'ایس', 'نے', 'دعوی', 'کیا', 'ہے', 'کہ', 'اس', 'نے', 'ایسی', 'شناختی', 'ٹیکنالوجی', 'تیار', 'کروا', 'لی', 'ہے', 'جس', 'کے', 'ذریعے', 'کورونا', 'وائرس', 'سے', 'بچاؤ', 'کا', 'ماسک', 'پہننے', 'والوں', 'کو', 'بھی', '96', 'فیصد', 'درستی', 'سے', 'شناخت', 'کرسکتا', 'ہے', '۔']",5,3,ڈیپارٹمنٹ
"['انہوں', 'نے', 'کہا', 'کہ', 'فارن', 'فنڈنگ', 'کیس', 'دنیا', 'بھر', 'سے', 'پی', 'ٹی', 'ا', 'ئی', 'کو', 'ملنے', 'والے', 'پیسے', 'کی', 'خورد', 'برد', 'کا', 'کیس', 'ہے', 'جسے', 'الیکشن', 'کمیشن', 'مسلسل', 'التوا', 'میں', 'رکھ', 'رہا', 'ہے', 'تحریک', 'انصاف', 'کو', 'سب', 'سے', 'زیادہ', 'پیسہ', 'اسرائیل', 'سے', 'ا', 'یا', 'یہ', 'قادنیوں', 'کے', 'ایجنٹ', 'ہیں', 'ہم', 'اسرائیل', 'کو', 'کسی', 'صورت', 'تسلیم', 'نہیں', 'کریں', 'گے', 'اور', 'سب', 'سے', 'پہلے', 'بیت', 'المقدس', 'کو', 'ا', 'زاد', 'کرائیں', 'گے', '21', 'جنوری', 'کو', 'کراچی', 'میں', 'اسرائیل', 'نامنظور', 'ریلی', 'نکالیں', 'گے', '۔']",15,3,ملنے
"['نیو', 'میکسیکو', 'ایک', 'امریکی', 'اسٹارٹ', 'اپ', 'کمپنی', 'اسپن', 'لانچ', 'نے', 'چھوٹے', 'مصنوعی', 'سیارچوں', 'کو', 'خلاء', 'میں', 'بھیجنے', 'کے', 'ایک', 'عجیب', 'و', 'غریب', 'طریقے', 'پر', 'کام', 'شروع', 'کردیا', 'ہے', 'جس', 'کے', 'تحت', 'کسی', 'مصنوعی', 'سیارچے', 'کو', 'پہلے', 'زمین', 'پر', 'موجود', 'ایک', 'دیوقامت', 'مرکز', 'گریز', 'مشین', 'سینٹری', 'فیوج', 'میں', 'تیزی', 'سے', 'گھمایا', 'جائے', 'گا', 'اور', 'جب', 'وہ', 'ایک', 'خاص', 'رفتار', 'پر', 'پہنچ', 'جائے', 'گا', 'تو', 'اسے', 'خلاء', 'کی', 'سمت', 'پھینک', 'دیا', 'جائے', 'گا', '۔']",12,3,سیارچوں
"['یہ', 'ویڈیو', 'گیم', '1985', 'میں', 'نائنٹینڈو', 'این', 'ای', 'ایس', 'کونسول', 'کےلیے', 'جاری', 'کیا', 'گیا', 'تھا', 'اور', 'اس', 'کی', 'ایک', 'ڈبہ', 'بند', 'کاپی', 'ا', 'ج', 'تک', 'ایک', 'امریکی', 'شہری', 'کے', 'پاس', 'محفوظ', 'تھی', 'جسے', 'اس', 'نے', 'ڈلاس', 'کے', 'ہیری', 'ٹیج', 'ا', 'کشنز', 'میں', 'نیلامی', 'کےلیے', 'رکھا', 'ہوا', 'تھا', '۔']",18,3,ایک
"['ہماری', 'خوراک', 'میں', 'وہ', 'تمام', 'عناصر', 'قدرتی', 'طور', 'پر', 'شامل', 'ہوتے', 'ہیں', 'جن', 'کی', 'ایک', 'خاص', 'مقدار', 'جسم', 'کو', 'تند', 'رست', 'وتوانا', 'رکھتی', 'ہے', 'جبکہ', 'انہی', 'عناصر', 'کی', 'مطلوبہ', 'مقدار', 'میں', 'غیر', 'ضروری', 'حد', 'تک', 'کمی', 'یا', 'زیادتی', 'ہی', 'خطر', 'ناک', 'اور', 'مہلک', 'امراض', 'کی', 'پیدائش', 'و', 'افزائش', 'کا', 'باعث', 'بنتی', 'ہے', 'جیسا', 'کہ', 'کولیسٹرول', 'یورک', 'ایسڈ', 'اور', 'شوگر', 'وغیرہ', 'کی', 'مطلوبہ', 'مقداروں', 'میں', 'جب', 'کمی', 'یا', 'زیادتی', 'واقع', 'ہوتی', 'ہے', 'تو', 'مرض', 'حملہ', 'ا', 'ور', 'ہوکر', 'ایک', 'تن', 'درست', 'انسان', 'کو', 'بیماری', 'کے', 'منہ', 'میں', 'دھکیل', 'دیتا', 'ہے', '۔']",52,3,جیسا
"['جسٹس', 'اعجاز', 'الاحسن', 'نے', 'ریمارکس', 'دیئے', 'کہ', 'متروکہ', 'املاک', 'کے', 'پاس', 'اپنی', 'بڑی', 'بلڈنگز', 'بنانے', 'کا', 'پیسہ', 'تو', 'ہے', 'لیکن', 'اپنے', 'اصل', 'کام', 'کے', 'لیے', 'پیسہ', 'نہیں', '۔']",7,3,متروکہ
"['بھارتی', 'میڈیا', 'کے', 'مطابق', 'بالی', 'ووڈ', 'کی', 'مقبول', 'ماڈل', 'اور', 'اداکارہ', 'پونم', 'پانڈے', 'گوا', 'کے', 'سیاحتی', 'مقامات', 'پر', 'شوٹنگ', 'میں', 'مصروف', 'ہیں', 'اور', 'ان', 'کے', 'ساتھ', 'شوہر', 'سام', 'احمد', 'بھی', 'اس', 'ہنی', 'مون', 'ٹرپ', 'کم', 'شوٹنگ', 'میں', 'ہمراہ', 'ہیں', 'تاہم', 'دونوں', 'کے', 'درمیان', 'ایک', 'نجی', 'معاملے', 'پر', 'جھگڑا', 'ہوگیا', '۔']",15,3,سیاحتی
"['ذرائع', 'کے', 'مطابق', 'ملتان', 'کی', 'ضلعی', 'انتظامیہ', 'کی', 'جانب', 'سے', 'پی', 'ایس', 'ایل', 'اور', 'ڈومیسٹک', 'میچز', 'کی', 'میزبانی', 'کے', 'دوران', 'اخراجات', 'کے', '15', 'کروڑ', 'طلب', 'کیے', 'گئے', 'ہیں', 'زمبابوے', 'کے', 'خلاف', 'سیریز', 'کے', '20', 'ون', 'ڈے', 'میچز', 'کی', 'میزبانی', 'سے', 'قبل', '20', 'کروڑ', 'مانگے', 'جا', 'رہے', 'ہیں', 'اسی', 'لیے', 'پی', 'سی', 'بی', 'نے', 'ملتان', 'کے', 'بجائے', 'ایک', 'سیریز', 'لاہور', 'میں', 'کروانے', 'پر', 'غور', 'شروع', 'کر', 'دیا', 'ہے', 'ون', 'ڈے', 'میچز', 'پہلے', 'راولپنڈی', 'میں', 'کروانے', 'کے', 'بعد', 'ٹی', 'ٹوئنٹی', 'مقابلے', 'قذافی', 'اسٹیڈیم', 'میں', 'کروانے', 'کا', 'پلان', 'بھی', 'بنایا', 'جا', 'رہا', 'ہے', 'پی', 'سی', 'بی', 'حکام', 'کا', 'خیال', 'ہے', 'کہ', 'لاہور', 'میں', 'لاجسٹک', 'مسائل', 'اور', 'اخراجات', 'کم', 'ہوں', 'گے', '۔']",17,3,میزبانی
"['انہوں', 'نے', 'کہا', 'کہ', 'فارن', 'فنڈنگ', 'کیس', 'دنیا', 'بھر', 'سے', 'پی', 'ٹی', 'ا', 'ئی', 'کو', 'ملنے', 'والے', 'پیسے', 'کی', 'خورد', 'برد', 'کا', 'کیس', 'ہے', 'جسے', 'الیکشن', 'کمیشن', 'مسلسل', 'التوا', 'میں', 'رکھ', 'رہا', 'ہے', 'تحریک', 'انصاف', 'کو', 'سب', 'سے', 'زیادہ', 'پیسہ', 'اسرائیل', 'سے', 'ا', 'یا', 'یہ', 'قادنیوں', 'کے', 'ایجنٹ', 'ہیں', 'ہم', 'اسرائیل', 'کو', 'کسی', 'صورت', 'تسلیم', 'نہیں', 'کریں', 'گے', 'اور', 'سب', 'سے', 'پہلے', 'بیت', 'المقدس', 'کو', 'ا', 'زاد', 'کرائیں', 'گے', '21', 'جنوری', 'کو', 'کراچی', 'میں', 'اسرائیل', 'نامنظور', 'ریلی', 'نکالیں', 'گے', '۔']",10,3,پی
