,input
81,"W. Rex Black نام میں W کا کیا مطلب ہے؟ولفورڈ ریکس بلیک (31 جنوری 1920 - 12 دسمبر 2012) ایک امریکی سیاست دان تھے۔

ولفورڈ ریکس بلیک نے 1973 سے 1997 تک دوسرے یوٹاہ سینیٹ ڈسٹرکٹ کی نمائندگی کی۔ ڈبلیو ریکس بلیک، جیسا کہ ان کا اکثر حوالہ دیا جاتا ہے، ڈیموکریٹک پارٹی کے رکن تھے اور کئی سالوں تک یوٹاہ سینیٹ میں اقلیتی رہنما کے طور پر پارٹی کی نمائندگی کرتے رہے۔"
413,براہ کرم ہرشد مہتا گھوٹالے پر ایک مختصر خلاصہ فراہم کریں۔ہرشد شانتی لال مہتا (29 جولائی 1954 - 31 دسمبر 2001) ایک ہندوستانی اسٹاک بروکر اور ایک سزا یافتہ دھوکہ باز تھا۔ مہتا کے 1992 کے ہندوستانی سیکیورٹیز گھوٹالے میں ملوث ہونے نے انہیں مارکیٹ میں ہیرا پھیری کرنے والے کے طور پر بدنام کیا۔
583,ہندوستان میں پانچ سب سے بڑے اسٹارٹ اپس کی فہرست بنائیں۔
137,8 اشیاء کی فہرست بنائیں جو آپ الیکٹرانکس کی دکان میں خریدیں گے۔
470,ہمارے پاس 8 سیب اور 4 سنترے ہیں۔ ہمارے پاس کل کتنے پھل ہیں؟
699,درج ذیل جملے میں دی گئی جگہوں پر صحیح اوقاف داخل کریں۔جین نے خاموشی سے دروازہ کھولا۔
995,کسی کتاب سے درج ذیل اقتباس کے سیاق و سباق کا خلاصہ کریں۔للی بیڈ پر بیٹھی اور شہر کے آسمان کی طرف دیکھنے لگی۔ سورج غروب ہو رہا تھا اور آسمان گہرا شاہی نیلا تھا جس میں گلابی اور نارنجی کی لکیریں تھیں۔
87,"مجھے پانی کی فلورائڈیشن کے بارے میں بتائیںپانی کی فلورائڈیشن صرف دانتوں کی خرابی کو کم کرنے کے لیے عوامی پانی کی فراہمی میں فلورائیڈ کی کنٹرول شدہ ایڈجسٹمنٹ ہے۔ فلورائیڈ والے پانی میں فلورائیڈ اس سطح پر ہوتا ہے جو گہاوں کو روکنے کے لیے موثر ہے۔ یہ قدرتی طور پر یا فلورائیڈ ملا کر ہو سکتا ہے۔[2] فلورائیڈ والا پانی دانتوں کی سطحوں پر کام کرتا ہے: منہ میں، یہ تھوک میں فلورائیڈ کی کم سطح پیدا کرتا ہے، جس سے دانتوں کے تامچینی کو معدنیات سے پاک کرنے کی شرح کو کم کرتا ہے اور اس شرح کو بڑھاتا ہے جس پر یہ گہا کے ابتدائی مراحل میں دوبارہ معدنیات سے پاک ہوتا ہے۔[3] عام طور پر پینے کے پانی میں ایک فلوریڈیٹڈ مرکب شامل کیا جاتا ہے، یہ ایک ایسا عمل ہے جس پر امریکہ میں اوسطاً $1.17 فی شخص سال خرچ ہوتا ہے۔[2][4] جب قدرتی طور پر پائے جانے والے فلورائیڈ کی سطح تجویز کردہ حد سے تجاوز کر جائے تو ڈیفلوورائیڈیشن کی ضرورت ہوتی ہے۔[5] 2011 میں، ورلڈ ہیلتھ آرگنائزیشن نے فلورائیڈ کی سطح 0.5 سے 1.5 mg/L (ملیگرام فی لیٹر) تجویز کی، جو کہ آب و ہوا، مقامی ماحول، اور فلورائیڈ کے دیگر ذرائع پر منحصر ہے۔[6] بوتل کے پانی میں عام طور پر نامعلوم فلورائیڈ کی سطح ہوتی ہے۔[7]

زیادہ تر صنعتی ممالک میں دانتوں کا سڑنا صحت عامہ کا ایک بڑا مسئلہ بنی ہوئی ہے، جس سے 60-90% اسکولی بچوں اور بالغوں کی اکثریت متاثر ہوتی ہے۔[8] پانی کی فلورائڈیشن بچوں میں گہاوں کو کم کرتی ہے، جبکہ بالغوں میں افادیت کم واضح ہوتی ہے۔[9][10] Cochrane کے جائزے میں گہاوں میں کمی کا تخمینہ لگایا گیا ہے جب پانی کی فلورائڈیشن ایسے بچوں کے ذریعہ استعمال کی گئی تھی جن کی فلورائڈ کے دوسرے ذرائع تک رسائی نہیں تھی جو بچوں کے دانتوں میں 35% اور مستقل دانتوں میں 26% تھی۔[9] تاہم، یہ پرانے مطالعات پر مبنی تھا جو متعدد متغیرات پر قابو پانے میں ناکام رہے، جیسے چینی کی کھپت میں اضافہ کے ساتھ ساتھ دیگر دانتوں کی حکمت عملی۔[9] زیادہ تر یورپی ممالک نے دانتوں کی خرابی میں خاطر خواہ کمی کا تجربہ کیا ہے، حالانکہ پانی کی فلورائڈیشن کے بدلے دودھ اور نمک کا فلورائڈیشن بڑے پیمانے پر ہے۔[11] حالیہ مطالعات سے پتہ چلتا ہے کہ پانی کی فلورائڈیشن، خاص طور پر صنعتی ممالک میں، غیر ضروری ہو سکتی ہے کیونکہ ٹاپیکل فلورائڈز (جیسے ٹوتھ پیسٹ میں) بڑے پیمانے پر استعمال ہوتے ہیں، اور کیریز کی شرح کم ہو گئی ہے۔[3]

اگرچہ فلورائیڈیشن دانتوں کے فلوروسس کا سبب بن سکتی ہے، جو دانتوں کی نشوونما یا تامچینی فلوروسس کی ظاہری شکل کو تبدیل کر سکتی ہے، [3] فرق ہلکے ہوتے ہیں اور عام طور پر جمالیاتی یا صحت عامہ کی فکر نہیں ہوتی۔[12] پانی کی فلورائڈیشن سے دیگر ضمنی اثرات کا کوئی واضح ثبوت نہیں ہے۔[13] فلورائیڈ کے اثرات تمام ذرائع سے فلورائیڈ کی کل روزانہ کی مقدار پر منحصر ہیں۔ پینے کا پانی عام طور پر سب سے بڑا ذریعہ ہے؛ [14] فلورائیڈ تھراپی کے دیگر طریقوں میں ٹوتھ پیسٹ، نمک اور دودھ کا فلورائڈیشن شامل ہے۔[15] دانتوں کی خرابی کی کمیونٹی کی روک تھام کے لیے سب سے موثر طریقہ کے بارے میں خیالات ملے جلے ہیں۔ آسٹریلوی حکومت کا کہنا ہے کہ واٹر فلورائیڈیشن فلورائیڈ کی نمائش حاصل کرنے کا سب سے مؤثر طریقہ ہے جو کہ کمیونٹی بھر میں ہے۔[12] ورلڈ ہیلتھ آرگنائزیشن نے رپورٹ کیا ہے کہ پانی کی فلورائڈیشن، جب ممکن ہو اور ثقافتی طور پر قابل قبول ہو، کافی فوائد رکھتا ہے، خاص طور پر زیادہ خطرے والے ذیلی گروپوں کے لیے، [8] جب کہ یورپی کمیشن کو حالات کے استعمال کے مقابلے میں پانی کی فلورائڈیشن کا کوئی فائدہ نہیں ملتا ہے۔[16]

عوامی پانی کی فلورائڈیشن سب سے پہلے امریکہ میں عمل میں آئی۔[17] 2012 تک، 25 ممالک میں مختلف ڈگریوں تک مصنوعی پانی کی فلورائڈیشن ہے، ان میں سے 11 میں ان کی 50% سے زیادہ آبادی فلورائیڈ والا پانی پیتی ہے۔ مزید 28 ممالک میں پانی ہے جو قدرتی طور پر فلورائیڈ ہے، حالانکہ ان میں سے اکثر میں فلورائیڈ بہترین سطح سے زیادہ ہے۔[18] 2012 تک، دنیا بھر میں تقریباً 435 ملین افراد نے تجویز کردہ سطح پر فلورائیڈڈ پانی حاصل کیا (یعنی عالمی آبادی کا تقریباً 5.4%)۔ صحت کی بڑی تنظیمیں جیسے کہ ورلڈ ہیلتھ آرگنائزیشن اور ایف ڈی آئی ورلڈ ڈینٹل فیڈریشن نے پانی کے فلورائڈیشن کو محفوظ اور موثر قرار دیا ہے۔[20] بیماریوں کے کنٹرول اور روک تھام کے مراکز نے پانی کی فلورائڈیشن کو امریکہ میں 20 ویں صدی کی صحت عامہ کی دس عظیم کامیابیوں میں سے ایک کے طور پر درج کیا ہے۔[21] اس کے باوجود، یہ عمل صحت عامہ کے اقدام کے طور پر متنازعہ ہے۔ کچھ ممالک اور کمیونٹیز نے فلورائیڈیشن کو بند کر دیا ہے، جبکہ دوسروں نے اسے بڑھا دیا ہے۔[10][22] پریکٹس کے مخالفین کا کہنا ہے کہ نہ تو فوائد اور نہ ہی خطرات کا مناسب مطالعہ کیا گیا ہے، اور اس تنازعہ پر بحث کرتے ہیں کہ بڑے پیمانے پر ادویات اور انفرادی آزادیوں کو کیا سمجھا جا سکتا ہے۔[22][23]"
759,میں گرمی برداشت نہیں کر سکتا کے جملے کو مثبت انداز میں دوبارہ لکھیں۔
51,مندرجہ ذیل ڈش بنانے کے لیے جو اجزاء درکار ہیں ان کی فہرست دیں۔پیزا
