input,label
آصف زرداری کی عدالتی فیصلے کے بعد وزیراعلیٰ سندھ کو ایم کیوایم سے مذاکرات کی ہدایت,3
2014 میں افغانستان آج سے زیادہ محفوظ اور مضبوط ہوگا، حامد کرزئی,7
درجہ حرارت میں تبدیلی سے بجلی بنانے والا آلہ تیار,4
لیاری میں نجی اسکول کے مالک کے گھر پر دستی بم حملہ، بچی سمیت 7 افراد زخمی,3
شدید گرمی میں طویل لوڈشیڈنگ، 21 افراد ہلاک، ملک بھر میں مظاہرے ,3
آئرلینڈ میں کبھی نہ ڈوبنے والی کشتی تیار,4
فیصل صالح حیات پاکستان فٹبال فیڈریشن کے صدر کے عہدے پر بحال,5
پاکستان ریلوے کا عید پر 23 خصوصی ٹرینیں چلانے کا فیصلہ,0
سکندرکی گرفتاری ظاہرنہ کرنے کے باعث تفتیش شروع نہ ہوسکی ,3
ملک میں سالانہ 20 ارب روپے کی گیس ضائع,0
سابق امریکی صدر بارک اوباما کو نئی نوکری مل گئی,7
اسکول روزسیزن گرامرکی رجسٹریشن معطل کرنے کافیصلہ، مقتولہ نیہا سپردخاک,3
ہمسایہ ممالک سےعزت اوروقار کے ساتھ دوستانہ تعلقات چاہتے ہیں، سربراہ پاک فوج,3
وزیراعظم نواز شریف آج قوم سے خطاب کریں گے,3
پاکستانی قوم اور افواج نے دہشتگردی کیخلاف جنگ میں بھاری قیمت ادا کی ، سربراہ پاک فوج,3
پیپلز پارٹی نے پیٹرول بحران پر قومی اسمبلی میں تحریک التوا جمع کرادی,3
وزیراعظم کو اب اخلاقی بنیادوں پر مستعفی ہوجانا چاہیے، فاروق ستار,3
کیون پیٹرسن نے ایک بار پھر پاکستان آنے سے انکار کردیا,5
کاشغر تا گوادر ریل پروجیکٹ پر کام شروع، کراچی سرکلر ریلوے منصوبے کا فائل ورک مکمل,3
امریکا میں عالم دین کو شدت پسندی کے فروغ اور دہشتگردوں کی مدد کے الزام میں عمر قید,7
6 کمپنیوں،8 بینکوں کے فارنسک آڈٹ کیلیے اشتہار شائع کرانیکی ہدایت,0
متحد ہوکر مشکل حالات پر قابو پالیں گے، نوازشریف,3
الیکشن کمیشن سرکاری اہلکاروں کے تبادلے اور تقرریوں کا نوٹس لے، آفتاب شیرپاؤ,3
پاکستان نے سری لنکا کو 9 سال بعد ٹیسٹ سیریز میں شکست دے دی,5
الطاف حسین پرعمران خان کا الزام افسوسناک ہے، رابطہ کمیٹی,3
ویمنز ورلڈ کپ؛ سری لنکا سے شکست کے بعد بھارت سپرسکس مرحلے سے باہر,5
دنیا بھر میں آج ’ارتھ ڈے‘ منایا جا رہا ہے,7
وفاق سندھ حکومت کے معاملات میں دخل اندازی بند کرے، شرجیل میمن,3
انسٹا گرام نے متحرک تصاویرکا آپشن دوبارہ بحال کردیا,4
پریانکا کو دوسری ہالی وڈ فلم میں کام کی پیشکش,1
لاہور: 90 ڈاکٹرزکو نوکریوں سے برطرف کردیا گیا،محکمہ صحت,3
کالعدم تنظیم کے منجمداکاؤنٹ سے رقم نکلوانے پر 4 افرادگرفتار,3
این آر او پر یقین نہیں رکھتے، احسن اقبال,3
امریکا میں طوفان، کاروبار بند، طلب کرنے پر خام تیل کی عالمی قیمتوں میں کمی ,0
پاک فوج کا زمین سے زمین تک مار کرنے والے حتف 9 نصر میزائل کا کامیاب تجربہ,3
کراچی حصص مارکیٹ میں بلندیوں کا سفر جاری، 31600 پوائنٹس کی حد بھی عبور ,0
پاکستان اسٹیل: فولاد خریداری میں2.25 ارب کا اضافی خرچ ,0
لاہور ہائی کورٹ میں وزیراعظم نواز شریف کی نااہلی کے لئے انٹرا کورٹ اپیل دائر,3
را، موساد اور امریکی سی آئی اے نادرا ڈیٹا تک پہنچ سکتی ہیں، حساس ادارہ,3
اسرائیل اور فلسطین کے درمیان کشیدگی کی اصل ذمہ دار حماس ہے، جان کیری,7
 کراچی کے کئی حلقوں میں پولنگ  تاخیرسے شروع، الیکشن کمیشن کا نوٹس  ,3
مریخ کی ابتدائی سیاہ سطح گریفائٹ سے بنی تھی، سائنسدان,4
عمران خان کو دن رات جھوٹ بولنے کے علاوہ کوئی کام نہیں، شہباز شریف,3
یکم جنوری سے پیٹرولیم مصنوعات کی قیمتوں میں 4 روپے فی لیٹرتک کمی کاامکان,0
کیویزبورڈ نے ورلڈ کپ فائنل کھیلنے والی ٹیم پراعزازات کی بارش کردی,5
سلمان کی فلم ’’ٹیوب لائٹ‘‘ دوسرے دن بھی کمال نہ دکھاسکی,1
مستقبل میں پیپلز پارٹی کو صدارتی انتخاب کے بائیکاٹ کی غلطی کااحساس ہوگا، وزیراعظم,3
سیاسی بحران سے غیر ملکی کمپنیوں کے اعتماد میں نمایاں کمی   ,0
زرمبادلہ ذخائر 26.49 کروڑ کمی سے 13.2 ارب ڈالر رہ گئے  ,0
ڈرون حملے سے طالبان کے ساتھ مذاکرات کو ہلاک نہیں ہونے دیں گے، وفاقی وزیر اطلاعات,3
سپریم کورٹ کی عمارت غیرقانونی ہے تو اسے بھی گرا دیا جائے، چیف جسٹس,3
