Input,M1,M2,M3,M4
ہاں البتہ وہ لوگ جن کیلئے ہماری طرف سے پہلے بھلائی مقدر ہو چکی ہوگی وہ اس سے دور رہیں گے۔,1,3,4,1
تو ہم نے چاہا کہ ان کا پروردگار اس کی جگہ ان کو اور (بچّہ) عطا فرمائے جو پاک طینتی میں اور محبت میں اس سے بہتر ہو,1,4,1,3
تم،، فرٹز جانتے ان دنوں میں سے ایک، میں نے خود اپنی ایک چھڑی کی ضرورت کے لئے جا رہا ہوں.,1,4,2,3
اس کا جمع کرنا اور (آپ کی زبان سے) پڑھنا ہمارے ذمہ ہے,2,1,4,3
اگر تم نے سارے صحیح جواب دیے تو تو آج ہو سکتا ہے کہ,1,2,3,4
کیا ان کے پاس علم غیب ہے جسے یہ لکھ لیتے ہیں؟,1,1,3,3
وہ تو نہیں مگر وحی جو انہیں کی جاتی ہے,1,3,2,4
ہم نے اس پر بلند و مضبوط پہاڑ رکھ دئیے اور ہم نے تمہیں (شیریں چشموں کے ذریعے) میٹھا پانی پلایا،,1,1,4,3
ٹویٹر پر طوبی کی جانب سے شیئر کیا گیا پوسٹر @Tooba_Sd,1,2,4,3
بن والوں نے بھی پیعمبروں کو جھٹلایا,2,4,1,2
جو لوگ یہودی بن گئے ہیں اُن میں کچھ لوگ ہیں جو الفاظ کو اُن کے محل سے پھیر دیتے ہیں اور دین حق کے خلاف نیش زنی کرنے کے لیے اپنی زبانوں کو توڑ موڑ کر کہتے ہیں سَمِعنَا وَ عَصَینَا اور اِسمَع غَیر مُسمَع اور رَاعِنَا حالانکہ اگر وہ کہتے سَمِعنَا وَ اَطَعنَا، اور اِسمَع اور اُنظُرنَا تو یہ انہی کے لیے بہتر تھا اور زیادہ راستبازی کا طریقہ تھا مگر ان پر تو ان کی باطل پرستی کی بدولت اللہ کی پھٹکار پڑی ہوئی ہے اس لیے وہ کم ہی ایمان لاتے ہیں,1,2,3,3
