input,label
"آئیے اس کا سامنا کریں ، واقعی ایک خوفناک فلم ، نہیں ... میرا مطلب ہے ""واقعی"" خوفناک مووی ، دیکھنا ایک نایاب ، عجیب اور خوبصورت چیز ہے۔ میں تسلیم کرتا ہوں کہ پلان 9 آف آؤٹر اسپیس ، آدھی ذات ، ذات ، وغیرہ جیسی فلموں کے ل my میرے دل میں ایک خاص جگہ ہے اور اگرچہ میں اس فلم کو 1 دے رہا ہوں ، لیکن میں بہت گزارش کرتا ہوں کہ جو کسی کو بری فلم سے لطف اندوز ہو اس کی وجہ سے آسی پارک بوئز: واقعی (ایک بری فلم) کسی دوست ، نمکین ، کچھ پینے کے ل find ، اور اس خصوصی موقع کو تلاش کرنے کے لئے ہے جو آسی پارک بوائز ہے۔ لیڈ اداکار کے پہلوؤں سے لے کر اب تک آنکھوں سے چلنے والی پرفارمنس کی طرف جب وہ کبھی بھی کیمرا دیکھے بغیر فلم میں براہ راست شدت کی انجیکشن لینے کی کوشش کرتا ہے (خاموش تصویروں سے سیدھے ہام کا ایک ٹکڑا - اپنے دل کو روڈولف ویلنٹینو سے کھا لو) ) اچانک- ارے ہم فلم سے باہر کے اختتام تک ، آپ ... نہیں ... روکیں گے ... ہنس پڑے۔ فلم کے خلاصہ کے مطابق ، اس میں ایک غریب آدمی کے واریرز مکمل ، مکمل - اور یہ بیان ہی کافی ہونا چاہئے ، لیکن پھر ""اسپگیٹی کھانے کے منظر"" ، ""ہمارے پاس ان کے ٹکٹ مل گئے ہیں of وہ حیرت زدہ ہیں؛ وہ جیت گئے ""اب شہر چھوڑ کر نہیں جا رہے ہیں"" منظر ""،"" یہ ایشین ہے! بھاگ جاؤ !! "" اور مزید. صرف ایک ہی قابل اعتراض حصہ غیر ضروری فلمایا گیا عصمت دری ہے۔ اس کے باہر ، میں آپ کو یہ فلم دیکھنے کی ہمت کرتا ہوں۔ اور میں آپ سے اداکاری ، لکیریں ، یا سمت ، یا ان میں سے کسی اور بورنگ اور ضرورت سے زیادہ عناصر میں سے کسی کے بارے میں ثبوت ڈھونڈنے کی ہمت کرتا ہوں جو نام نہاد نقاد کہتے ہیں کہ کسی فلم کو اچھ asے سمجھنے کی ضرورت ہے۔ اگر یہ فلم ختم ہونے سے پہلے ہی بے قابو ہنسیوں کا سبب نہیں بنتی ہے ، تو میں صرف اتنا کرسکتا ہوں کہ میری آنکھیں مردانہ طور پر آپ کی طرف دیکھ رہی ہیں اور چیخیں ، ""آپ کتے! آپ کتے! آپ کتے!""",1
یہ بیان واضح اور جامع تھا لیکن مجموعی طور پر اس فلم نے کبھی میری دلچسپی کو اپنی گرفت میں نہیں لیا۔ حقیقت یہ ہے کہ گینگیس خان ، تاریخی طور پر ، ایک انتہائی دلچسپ / مہاکاوی زندگی گزار رہے تھے لیکن فلم اس پر قبضہ کرنے میں ناکام رہی ، اس کی بجائے اس نے چھوٹی چھوٹی تصادم پر توجہ مرکوز کی۔ جوانی اور ایک محبت کی کہانی میرے خیال میں میں نے کئی فلموں میں بھیس بدل کر دیکھا ہے۔ میں نے کبھی بھی لیڈ کے لئے ہمدردی اور ہمدردی محسوس نہیں کی - ہاں اسے غلامی پر قابو پانا پڑا لیکن پھر ایسا لگتا ہے کہ اس نے خنجرنگ ، قتل اور دوگنا عبور کرنے کے لئے ایک آسان سواری حاصل کی ہے۔ ایک سب سے بڑی خوبی فوٹو گرافی تھی۔ مناظر نے فلم کے تاریک ماحول کو یقینی طور پر مدد فراہم کی ، بدقسمتی سے کہانی کی تاریکی کے ساتھ مل کر ، میں نے پریشان نہیں ہوا ، اور مایوس ہو گیا۔,1
"""موت کا وعدہ"" ایک گمشدہ 70 کا جواہر ہے اور دیکھنا چاہتا ہے۔ تکنیکی طور پر کسی حد تک گڑبڑ اور شوقیہ نیو یاق اقسام کے ذخیرے پر فخر کرنے سے یہ فلم کبھی بور نہیں ہوتی ہے۔ میں اس سے باخبر رہنے کی انتہائی سفارش کرتا ہوں۔ یہ ایک ڈیڑھ بجنا ہے۔",0
"پڑوسی کے سمر کیمپ میں گھریلو فلمیں دیکھنے کی طرح ، ""انڈین سمر"" نیند کو جنم دینے والا بور ہے۔ آٹھ سابق طالب علموں کو بمشکل ہی تعارف کرایا جاتا ہے ، جب ناقابل یقین حد تک بورنگ فلیش بیکس ان کرداروں کے لئے شروع ہوجاتی ہیں جن کے بارے میں ہم کچھ نہیں جانتے ہیں۔ اس فلم میں عمدہ اداکار ، ایلن آرکن ، اور بل پاسٹن مکمل طور پر ضائع ہوگئے ہیں۔ ایک کیمپر کا مشاہدہ کہ ""ہر چیز اتنی چھوٹی معلوم ہوتی ہے جتنا میں اسے یاد کرتا ہوں"" کم از کم دس بار دہرایا جاتا ہے ، جو آپ کو دوچار کرنے کے لئے کافی ہے۔ متوقع مذاہب نہ تو مضحکہ خیز اور اصلی ہیں ، جب تک کہ آپ یہ نہیں سوچتے ہیں کہ شارٹ شیٹنگ ایک حقیقی ""ہولر"" ہے۔ اس فلم میں کافی صلاحیتوں کو شامل کرتے ہوئے کافی مایوسی ہوئی۔ ""انڈین سمر"" نے مجھے بیمار نہیں کیا ، صرف بیمار تھے۔ - مرک",1
"سنیما کی تاریخ کی ایک سب سے اہم فنکارانہ نقل و حرکت ، اس میں کسی شک کے جرمنی کی اظہار خیال تھا ، جو برلن میں 20 کی دہائی کے دوران فلم سازی کا انتہائی ماحولیاتی انداز تیار ہوا تھا۔ ""داس کابینہ ڈیس ڈاکٹر کیلگاری"" جیسی کلاسیکی فلمیں۔ (1920) اور ""Nosferatu ، Eine Symphonie Des Grauens"" (1922) اس تحریک کے سب سے زیادہ مشہور براہ راست نتائج تھے ، اور جب کہ اس تحریک کی لمبی عمر نہیں تھی ، اس کے باوجود سنیما پر اس کا بہت بڑا اثر آج بھی محسوس کیا جاسکتا ہے ، خاص طور پر ہارر نوع۔ اس انداز کی ایک اہم شخصیت ڈائریکٹر پال ویگنر ، 1920 کے ""ڈیر گولم ، ڈائی ویلٹ کام میں وائی ایر"" کے ڈائریکٹر ہوں گے ، جیسا کہ اس فلم کی تخلیق کرنے سے سات سال قبل ایک فلمساز کی حیثیت سے ، وہ پہلے ہی بنا رہے تھے فلم میں اظہار خیال کے ساتھ تجربات۔ جرمن اظہار خیال کی وہ ابتدائی پروٹو ٹائپ اتفاقی طور پر تھی ، ایک اور ہارر فلم: ""ڈیر اسٹوڈنٹ وان پراگ""۔ ""ڈیر اسٹوڈنٹ وان پراگ"" (""پراگ کا طالب علم"") ، شہرت کے حامل طالب علم بالڈوین (پال ویگنر) کی کہانی ہے۔ پراگ میں بہترین فینسر ہونے کا ، لیکن جو خود کو ہمیشہ مالی پریشانیوں میں مبتلا کرتا ہے۔ ایک دن ، بالڈوین نے خوبصورت کاؤنٹی مارگٹ (گریٹ برجر) کو اس کے گھوڑے کے حادثے سے گرنے کے بعد جھیل میں ڈوبنے سے بچایا۔ بالڈوین کو فورا her ہی اس کی محبت ہوگئی اور اسے دوبارہ دیکھنے کی کوشش کی ، لیکن جلد ہی اسے پتہ چلا کہ اسے اس کے امیر کزن گراف وان شوارزبرگ (لوتھر کرنر) سے مقابلہ کرنا پڑے گا ، جو اس سے بھی شادی کرنا چاہتا ہے۔ یہ جانتے ہوئے کہ وہ اس سے زیادہ پیش کش نہیں کرسکتا ہے ، بالڈوین کی دولت مند بننے کی خواہش ہے ، اور اسی جگہ اسکائپینی (جان گوٹ) نامی ایک جادوگر منظر میں داخل ہوا۔ اسکاپینییلی اپنے کمرے میں جو کچھ بھی ڈھونڈتا ہے اس کے بدلے میں بالڈوین لامحدود دولت پیش کرتا ہے۔ بالڈوئن نے اس تجویز کو قبول کیا ، صرف اس بات کا پتہ لگانے کے لئے کہ اسکاپینیلی آئینے میں ان کی عکاسی کر رہا ہے۔ آسانی سے ایڈگر ایلن پو کی مختصر کہانی ""ولیم ولسن"" اور ""فاؤسٹ"" کی کلاسیکی لیجنڈ ، ""ڈیر اسٹوڈنٹ وان پراگ"" کی کہانی سے متاثر ہوا۔ ""جرمنی کے مصنف ہنس ہینز ایورز نے تصور کیا تھا ، جو ہارر لٹریچر کا ماہر تھا اور پہلے مصنفین میں سے ایک ہے جس نے اسکرپٹ رائٹنگ کو ادب کی کسی بھی دوسری شکل کی حیثیت سے جائز سمجھا تھا۔ ایسے وقت میں لکھا گیا جب جرمنی میں سنیما اب بھی آرٹ کی شکل کے طور پر تیار ہورہا تھا ، ""ڈیر اسٹوڈنٹ وان پراگ"" سینما کو حقیقت میں کیمرہ ٹرک یا مناظر کی ایک سیریز سے آگے مکمل طور پر تیار کی گئی کہانی سنانے کے لئے استعمال کرنے کی خواہش ظاہر کرتا ہے۔ اپنے وقت کے بیشتر اسکرپٹ رائٹرز کی طرح ، ایورس اسکرین پلے اب بھی تھیٹر سے بہت متاثر ہے ، حالانکہ ""ڈیر اسٹوڈنٹ وان پراگ"" اس انداز سے دور ہونا شروع ہوتا ہے۔ جب کہ کردار کی نشوونما پر خاص طور پر تھوڑا سا غریب ہے (خصوصی طور پر معاون کرداروں پر) ، ایورز بالڈوائن کے فرد میں ایک دلچسپ اور پیچیدہ کردار بنانے کا انتظام کرتی ہے۔ ""ڈیر اسٹوڈنٹ وان پراگ"" پال ویگنر کی ہدایتکاری میں پہلی فلم تھی اور اسٹیلن رائی کی ایک دوسری فلم تھی۔ فلمساز ، یہ بات بالکل واضح ہے کہ ان دونوں سرخیلوں کو اس بات کا اندازہ تھا کہ جب سنجیدگی سے کام کیا جائے تو سنیما کیا کرسکتا ہے۔ گائڈو سیبر کی سینما گھروں کو زبردست استعمال کرتے ہوئے ، یہ دو نوجوان فلم ساز ایک طاقتور گوٹھک ماحول تیار کر رہے ہیں جس میں پیش گوئی کی گئی ہے کہ اگلے دہائی کے جرمن فلم بین کیا کریں گے۔ ویگنر اپنی ""گولیم"" سیریز میں سیبر اور رائی سے اپنی بہت سی تکنیک استعمال کرتا تھا۔ بہت محدود وسائل ہونے کے باوجود ، رائی اور ویگنر بالڈوئن کی عکاسی (ویگنر کے ذریعہ بھی ادا کردہ) کے ساتھ مناظر کے لئے ایک حیرت انگیز اور انتہائی قائل (اپنے وقت کے لئے) بصری اثر بنانے کا انتظام کرتے ہیں۔ اس فلم کو بنانے کے وقت پہلے ہی ایک تجربہ کار اسٹیج اداکار ، ویگنر بڑی صلاحیتوں کے ساتھ کاسٹ کی ہدایت کرتے ہیں اور پچھلے فلم بینوں کے متنازعہ انداز سے بھی دور ہونے کی کوشش کرتے ہیں۔ بالڈوئن کے طور پر ، پول ویجنر بہت موثر ہیں اور شاید اس فلم میں سب سے بہترین۔ اس سے یقینی طور پر مدد ملتی ہے کہ اس کا کردار واحد اکیلا ہے جو مصنف نے مکمل طور پر تیار کیا ہے ، لیکن کوئی اس سے انکار نہیں کرسکتا ہے کہ ویگنر اس غریب طالب علم کی حیثیت سے اپنے کردار میں بہت اچھا تھا جو اس معاہدے میں اپنے آئینے کی عکاسی سے زیادہ کھو دیتا ہے۔ جان گوت نے پراسرار چمک کے ساتھ اسبی اسکائپینی کا کردار ادا کیا ہے جو کردار کو دستانے کی طرح موزوں کرتا ہے۔ فلم میں اسکاپینییلی کے بارے میں بہت کم کہا جاتا ہے ، لیکن گوٹوٹ ہمیں یہ بتانا یقینی بناتا ہے کہ وہ خوفزدہ ہونے والی ایک قوت ہے۔ بقیہ مرکزی کاسٹ کم خوش قسمت ہے ، کیونکہ گریٹ برجر کاؤنٹی مارسٹ کی حیثیت سے کافی اوسط ہے ، اور لوتھر کرنر نے ایک ناقص گراف ون وان شوارزنبرگ بنایا ہے۔ تاہم ، یہ کہنا ضروری ہے کہ لیڈا سلمونوفا اپنے تاثراتی کردار میں کافی اچھی تھیں اور فرٹز ویدیمن نے ایک عمدہ بیرن والڈیس-شوارزین برگ بنایا ، جس میں اس وقار کا اظہار کیا گیا کہ لورنر کے کردار کو ہونا چاہئے تھا۔ ان فلموں پر غور کرنا جو دوسرے سالوں میں ان سالوں میں چل رہی تھیں۔ اور یہ حقیقت کہ اس کا ریمیک (اس فلم کے 13 سال بعد بنایا گیا) ہر ممکن طریقے سے برتر ہے ، یہ سمجھنا مشکل نہیں ہے کہ ""ڈیر اسٹوڈنٹ وان پراگ"" وقت کے ساتھ ساتھ دیگر ابتدائی فلموں کی آزمائش کیوں نہیں کر پایا ہے۔ فلم کا اصل مسئلہ یقینا its اس کا انتہائی کم بجٹ ہے ، کیوں کہ اس کے نتیجے میں یہ فلم ایورز کی کہانی کو مکمل طور پر تیار کرنے کی ضرورت کے مقابلے میں کافی کم تر ہے۔ اس سے پلاٹ کو اوقات میں تھوڑا سا مبہم محسوس ہوتا ہے ، یا یہاں تک کہ نامکمل بھی ، گویا کہانی میں کوئی چیز غائب ہو (یقینا، اس بات کا بھی امکان موجود ہے کہ موجودہ پرنٹ واقعی نامکمل ہے)۔ تاہم ، ""ڈیر اسٹوڈنٹ وان پراگ"" فلم میں ہارر اور سسپنس کی ایک پیچیدہ کہانی کی ابتدائی کوشش ہے جو اس وقت دوسرے فلمسازوں کے مقابلے میں کم ہو رہی تھی ، اس نے تاریخ میں ایک طاقتور تاثر چھوڑا ہے۔ جیسے براہ راست پیشرو جرمن اظہار خیال کی تحریک ، ""سینئر اسٹوڈنٹ وان پراگ"" کو جرمن سنیما کی تاریخ میں ، شاید عام طور پر سنیما کی تاریخ میں ، اس بہت زیادہ اہمیت سے انکار کرنا مشکل ہے۔ یہ اپنے وقت کے لئے بھی تاریخی نظر آسکتا ہے ، لیکن اس کے ہدایت کار کے پاس محدود وسائل پر غور کرنا ، یہ واقعی اس دور کی بیشتر فلموں سے بہتر ہے۔ اس فلم کے طور پر جس نے پال ویگنر کے کیریئر کا آغاز کیا تھا ، اور اس جرمن اظہار خیال کے ساتھ ، ""ڈیر اسٹوڈنٹ وان پراگ"" فلم کی تاریخ کے اس ٹکڑے میں دلچسپی رکھنے والے ہر ایک کو دیکھنا ضروری ہے۔ 7/10",0
یقین کریں یا نہیں ، 12 منٹ پر ، یہ فلم (1912 کے لئے) ایک پوری لمبائی والی فلم ہے۔ بہت ، بہت کم فلمیں اس وقت کے مقابلے میں لمبی تھیں ، لیکن یہ یقینی طور پر ایسی نہیں ہے جو اس عجیب سی فلم کو باقی کے علاوہ الگ کرتی ہے! نہیں ، اس سے مختلف بات یہ ہے کہ تمام اداکار (ایک میڑک کو چھوڑ کر) کیڑے ہیں ... ہاں ، کیڑے! یہ معمولی ڈومیسٹک مزاحیہ فلمیں چپلن ، لاریل اور ہارڈی یا میکس لنڈر ​​کی طرح کی پروڈکشن کی طرح نظر آسکتی تھیں لیکن اس کی بجائے روسی پروڈکشن کیڑے استعمال کرتی ہیں (یا ، میرے خیال میں ، ایسے ماڈل جو کیڑے کی طرح نظر آتے ہیں)۔ چیپلن اور لارل اور ہارڈی کا ابھی پتہ نہیں چل سکا تھا اور میں فرض کرتا ہوں لنڈر ​​مصروف تھا ، تو شاید اسی لئے انہوں نے کیڑے استعمال کیے تھے! اسٹاپ موشن کا استعمال کرتے ہوئے ، کیڑے حرکت میں آئے اور ناچتے رہے اور حیرت انگیز طور پر اچھ fought سے لڑا - اور 21 سال بعد کنگ کانگ سے زیادہ حقیقت پسندانہ بات! فلم کی شروعات مسٹر بیٹل نے اچھ timeی وقت کے ساتھ چپکے چپکے سے کی۔ وہ ایک باڈی کلب جاتا ہے جب کہ اس کی اہلیہ گھر پر انتظار کرتی ہے۔ لیکن ، بدقسمتی سے مسٹر بیٹل کے لئے ، وہ ایک مقامی فلمی بوف کے ذریعہ کیمرے پر گرفت میں آگیا۔ اس کے علاوہ ، وہ یہ نہیں جانتا ہے لیکن مسز بیٹل بوہیمین ٹڈڈیوں والی پینٹر کے ساتھ بھی کام کررہی ہیں۔ یقینا، اس گھریلو کامیڈی کے مقابلے میں اس سے بھی بہت زیادہ چیزیں ہیں ، لیکن یہ پلاٹ عمر رسیدہ اور بڑوں اور بچوں کے لئے ایک جیسے تفریحی ہے۔ ویرڈ بلکہ بہت ہی حیرت انگیز اور دیکھنے کے قابل بھی ہے۔,0
"معیاری ون لائنر ٹائپ ایکشن فلموں میں ، جہاں اداکاری اور منطق کی جانچ پڑتال دروازے پر کی جاتی ہے ، یہ فلم کلاس میں سرفہرست ہے۔ اگر کاسٹنگ کا انچارج شخص اس جھڑپ میں ""اچھے"" اداکاروں کو شامل کرتا تو یہ اور بھی خراب ہوتا (سوائے رچرڈ ڈاسن کو چھوڑ کر جو حقیقت میں عمدہ اداکاری کرتا ہے ، اگر آپ خود کو اداکاری کا نام دے سکتے ہیں)۔ مجھے یہ فلم پسند ہے! رننگ انسان ہر ممکنہ طور پر انسان کو خدا کا تحفہ ہے (ٹھیک ہے شاید صرف مرد) یقینی طور پر ہمارے وقت کی سب سے حوالہ دینے والی فلم ہے لہذا میں آپ کو اپنی پسندیدہ لائن کا حصہ بناؤں گا: ""یہ زندگی کے بھر پور نمونہ برینڈا کا سب حصہ ہے ، اور آپ بہتر ***** جی اس کی عادت ڈالیں گے۔"" آہ ، اس فلم کے حوالے سے مجھے زیادہ سے زیادہ لوگ ""برینڈا"" کہا جاتا ہے اس کے مقابلے میں میں تصور بھی نہیں کرسکتا ہوں۔",0
"یہ فلم واقعی کافی عجیب ہے۔ واضح طور پر کچھ واقعات * نے مرکزی کردار کی شناخت ڈبلن مجرم کی حیثیت سے کی جس کی شناخت ""جنرل"" کے نام سے کی جاتی ہے لیکن یہ سب کچھ بالکل غلط ہے۔ ہم قدیم تاریخ کے مسخ ہونے کی بات نہیں کر رہے ہیں ... لیکن ناقابل تردید ، دستاویزی حقائق کی مکمل تحریف کے بارے میں بات نہیں کررہے ہیں۔ واقعتا سوال یہ ہے کیوں؟ گارڈا کو بعد کے دن کی اسٹون کوپس ، اس کا گروہ غیر منطقی طور پر دکھایا گیا ہے ، اور اس شخص نے خود کیوین اسپاسی کے طور پر… ویسے بھی تقریبا pure خالص افسانہ ، حقیقت پسندی کی علامت سمجھنے کی کوشش کرنے کی زحمت کیوں کرتا ہے؟ یہ سب کچھ کہنے کے بعد ، یہ ایک ناقص ورزش ہے * جس طرح بھی آپ دیکھنا چاہتے ہیں۔ کسی کے وقت کا ایک سیکنڈ قابل نہیں۔",1
"میں شرط لگاتا ہوں کہ میں اس فلم کو سال میں 4 یا 5 بار دیکھتا ہوں ، اور اس سے زیادہ کثرت سے کروں گا ، اب جبکہ ہولی ویرڈ مغلوں نے اسے ڈی وی ڈی پر ڈالنے کے قابل سمجھا ہے ، کیونکہ یہ ایک کلاسیکی دارالحکومت ""سی"" ہے! یہ فلم بے وقت ہے! آج کل لوگ of 10.00 کی ادائیگی کیسے کر سکتے ہیں یہ جانک کو دیکھنے کے لئے جو ہولی ویرڈ سے مصر کی طرح کی فلموں سے نکلا ہے۔ دس احکامات؛ بین گھنٹہ؛ ٹیپ پر CAPTAIN NEWMAN MD؛ DVD؛ اور کیبل مووی چینلز؛ میں ہمیشہ کے لئے جاری رہ سکتا ہوں ، لیکن یہ فلم اتنی عمدہ ہے ، اور کسی نامعلوم رشتے دار کے ل Ed ، ایڈمنڈ پورڈم اٹلی کی دنیا میں چلنے والی فلم کی طرح چلتا ہے۔ کہانی حیرت انگیز ہے ، اداکاری پہلے درجے کی ہے ، اور آخر میں گرافکس اتنے طاقتور ہیں ، آپ اپنی نشست پر کچھ منٹ بیٹھتے ہیں ، صرف الفاظ کو گھسنے دیتے ہیں! واقعی کسی فلم کی ناک آؤٹ۔ اگر میں مجھے ایسا کرنے دیتا تو میں اسے ایک 15 ستارے دے دیتا۔ وہ انہیں اب ایسا نہیں بناتے ، لیکن انہیں چاہئے !!!!!",0
میں فلم سلیمان کین کو دیکھتے ہوئے بیدار رہنے کی شدت سے کوشش کر رہا ہوں۔ مجھے قریب 20 منٹ باقی ہیں۔ اگر اس سے بھی بہتر ہوتا ہے تو ، میں یہاں واپس آؤں گا اور آپ کو بتاؤں گا ، لیکن کسی بھی طرح مجھے شک ہے کہ ایسا ہوگا۔ سلیمان کین کی طرح لگتا ہے کہ یہ ویڈیو گیم ڈارک واچ پر مبنی ہے ، اور ایسا لگتا ہے کہ یہ ویڈیو گیم لیسیسی برائے کین کی بنیاد پر ہے ، لیکن بدقسمتی سے یہ بھی سچ نہیں ہے۔ میں نے سنا ہے کہ یہ کچھ مزاحیہ کتاب یا گرافک ناول یا گودا افسانے یا کسی اور چیز پر مبنی ہے جس کے بارے میں میں نے کبھی نہیں سنا ہے ، لیکن جو بھی اس پر مبنی ہے ، اس حیرت انگیز بورنگ فلم میں کوئی اصل بات نہیں ہے۔ فلم 300 فلم سے ماحول چوری ہوچکا ہے ، جو پہلے اتنا اچھا نہیں تھا۔ تکلیف دہ حد سے تجاوز کرنا خود کو اس قدر سنجیدگی سے لے جاتا ہے کہ یہ قریب قریب ہی سموہنک ہے ، اور واضح طور پر میرا مطلب یہ ہے کہ یہ ایک بری طرح سے ہے۔ یہ پلاٹ عملی طور پر عدم موجود ہے: پرتشدد آدمی کی وجہ سے متشدد آدمی دوستانہ کنبہ سے مل جاتا ہے ، دوستانہ کنبہ کو قتل کردیا جاتا ہے ، پرتشدد لڑکا ایک بار پھر پرتشدد ہوجاتا ہے۔ سبھی کردار واٹرورلڈ یا بک آف ایلی یا پہاڑیوں کی آنکھوں سے لیا گیا دقیانوسی تصورات ہیں یا ، جو بھی ہو ، ایک اور apocalyptic سلیش فنتاسی سلیش وزرڈری فلم کا انتخاب کریں جو آپ نے دیکھا ہے اور وہیں آپ کے پاس ہے۔ کسی نے ، کہیں ، کہا ، یہ ہے کہ فلم کیسے بنائی جائے: ہر چیز کو پراسرار نظر آنے کے لئے نیلے رنگ کا فلٹر استعمال کریں ، گھٹنوں کے کھردوں میں چھلکتی ہوئی سست رفتار شاٹس شامل کریں ، چاروں طرف منڈلاتے برفانی تودے شامل کریں جبکہ دو بورنگ حروف ہر ایک سے باتیں کررہے ہیں دوسرا ، اور اوہ ہاں بارش ڈرامائی انداز میں بہہ رہی ہے تاکہ اس حقیقت سے روگردانی کی جاسکے کہ واقعی کچھ بھی نہیں ہورہا ہے ، اور ان کے پیچھے پیچھے آگ بھڑکنے والے سیاہ سلیونٹ ، اور بہت سارے مشعل جلتے ہوئے ، اور یقینا دھندلا پن کے مناظر کو مت بھولنا۔ جس سے یہ واضح نہیں ہوسکتا ہے کہ واقعی میں کیا ہورہا ہے کیونکہ ہمارے پاس گوری خاص اثرات کے لئے بجٹ نہیں ہے لہذا صرف دھات کی بندش کی آواز میں پھینک دیں ، اور ، ویسے ، کسی بھی کردار کو زیادہ دیر تک زندہ رہنے نہ دیں۔ سامعین ان کو سمجھنے ، ان سے متعلق یا ان کے ساتھ ہمدردی ، اور انگلیوں کو پار کرنے کے لئے امید کرتے ہیں کہ تلوار اور جادوئی فلموں کے شائقین اسے کھا لیں گے ، حالانکہ یہ مکمل ڈو ڈو ہے ، اور براہ راست ویڈیو میں جانا ہے ، GO کو پاس نہ کریں۔ . .,1
